,0,1
34,Santander UK," @santanderuk ""sustainable development"" OR @santanderuk sustainability OR @santanderuk philanthropy OR @santanderuk ""social good"" OR @santanderuk ""zero hunger"" OR @santanderuk ""social impact"" OR @santanderuk ""replace plastic"" OR @santanderuk ""good governance"" OR @santanderuk ""procurement with purpose"" OR @santanderuk ""activist investors"" OR @santanderuk ""activist investing"" OR @santanderuk ""shareholder activism"" OR @santanderuk socents OR @santanderuk impinv -""credit score"" lang:en -is:retweet"
35,Nationwide Building Society,"@AskNationwide #sustainability OR @AskNationwide #environment OR @AskNationwide #climatechange OR @AskNationwide #csr OR @AskNationwide #renewables OR @AskNationwide #sdgs OR @AskNationwide #green OR @AskNationwide #sustainable OR @AskNationwide #earthday OR @AskNationwide #renewableenergy OR @AskNationwide #circulareconomy OR @AskNationwide #climate OR @AskNationwide #water OR @AskNationwide #recycling OR @AskNationwide #energyefficiency OR @AskNationwide #esg -""credit score"" lang:en -is:retweet"
36,Nationwide Building Society," @AskNationwide #cleanenergy OR @AskNationwide #globalgoals OR @AskNationwide #eco OR @AskNationwide #climateaction OR @AskNationwide #ecofriendly OR @AskNationwide #plasticfree OR @AskNationwide #nature OR @AskNationwide sustainability OR @AskNationwide impact OR @AskNationwide ""sustainable development"" OR @AskNationwide ""climate change"" OR @AskNationwide ecosystem OR @AskNationwide environment OR @AskNationwide conservation OR @AskNationwide ""climate finance"" -""credit score"" lang:en -is:retweet"
37,Nationwide Building Society," @AskNationwide adaptation OR @AskNationwide mitigation OR @AskNationwide ""carbon finance"" OR @AskNationwide emission OR @AskNationwide #sustainabledevelopmemt  OR @AskNationwide #sustainability OR @AskNationwide #philanthropy OR @AskNationwide #socialgood OR @AskNationwide #zerohunger OR @AskNationwide #development OR @AskNationwide #transformingcommerce OR @AskNationwide #socialimpact OR @AskNationwide #replaceplastic OR @AskNationwide #goodgovernance -""credit score"" lang:en -is:retweet"
38,Nationwide Building Society," @AskNationwide #procurementwithpurpose OR @AskNationwide #activistinvestors OR @AskNationwide #activistinvesting OR @AskNationwide #shareholderactivism OR @AskNationwide #socents OR @AskNationwide #imapct OR @AskNationwide #impinv OR @AskNationwide #socimp OR @AskNationwide #impactinvesting OR @AskNationwide #socinn OR @AskNationwide #socinv OR @AskNationwide #socialenterprise OR @AskNationwide #socialimpact OR @AskNationwide #corpgov OR @AskNationwide #greenwashing -""credit score"" lang:en -is:retweet"
39,Nationwide Building Society," @AskNationwide csr OR @AskNationwide renewables OR @AskNationwide sdgs OR @AskNationwide green OR @AskNationwide sustainable OR @AskNationwide earthday OR @AskNationwide ""renewable energy"" OR @AskNationwide ""circular economy"" OR @AskNationwide climate OR @AskNationwide water OR @AskNationwide recycling OR @AskNationwide ""energy efficiency"" OR @AskNationwide esg OR @AskNationwide ""clean energy"" OR @AskNationwide ""global goals"" OR @AskNationwide eco -""credit score"" lang:en -is:retweet"
40,Nationwide Building Society," @AskNationwide ""climate action"" OR @AskNationwide ""eco friendly"" OR @AskNationwide ""plastic free"" OR @AskNationwide nature OR @AskNationwide ""sustainable development"" OR @AskNationwide sustainability OR @AskNationwide philanthropy OR @AskNationwide ""social good"" OR @AskNationwide ""zero hunger"" OR @AskNationwide ""social impact"" OR @AskNationwide ""replace plastic"" OR @AskNationwide ""good governance"" OR @AskNationwide ""procurement with purpose"" -""credit score"" lang:en -is:retweet"
41,Schroders,"@Schroders_UK #sustainability OR @Schroders_UK #environment OR @Schroders_UK #climatechange OR @Schroders_UK #csr OR @Schroders_UK #renewables OR @Schroders_UK #sdgs OR @Schroders_UK #green OR @Schroders_UK #sustainable OR @Schroders_UK #earthday OR @Schroders_UK #renewableenergy OR @Schroders_UK #circulareconomy OR @Schroders_UK #climate OR @Schroders_UK #water OR @Schroders_UK #recycling OR @Schroders_UK #energyefficiency OR @Schroders_UK #esg -""credit score"" lang:en -is:retweet"
42,Schroders," @Schroders_UK #cleanenergy OR @Schroders_UK #globalgoals OR @Schroders_UK #eco OR @Schroders_UK #climateaction OR @Schroders_UK #ecofriendly OR @Schroders_UK #plasticfree OR @Schroders_UK #nature OR @Schroders_UK sustainability OR @Schroders_UK impact OR @Schroders_UK ""sustainable development"" OR @Schroders_UK ""climate change"" OR @Schroders_UK ecosystem OR @Schroders_UK environment OR @Schroders_UK conservation OR @Schroders_UK ""climate finance"" -""credit score"" lang:en -is:retweet"
43,Schroders," @Schroders_UK adaptation OR @Schroders_UK mitigation OR @Schroders_UK ""carbon finance"" OR @Schroders_UK emission OR @Schroders_UK #sustainabledevelopmemt  OR @Schroders_UK #sustainability OR @Schroders_UK #philanthropy OR @Schroders_UK #socialgood OR @Schroders_UK #zerohunger OR @Schroders_UK #development OR @Schroders_UK #transformingcommerce OR @Schroders_UK #socialimpact OR @Schroders_UK #replaceplastic OR @Schroders_UK #goodgovernance -""credit score"" lang:en -is:retweet"
